model,rt,error,size_condition,cat_condition,rand_condition,block_type
0,0.44321686,0.0,s_ms,c_ma,c_ms,blocked
0,0.49527505,0.0,s_ms,c_ma,c_ma,blocked
0,0.40165487,0.0,s_ms,c_ma,c_ma,blocked
0,2.249307e-05,0.0,s_ma,c_ma,c_ms,blocked
0,4.983382e-06,0.0,s_ma,c_ma,c_ms,blocked
0,8.567536e-06,0.0,s_ma,c_ma,c_ma,blocked
0,1.3761966e-05,0.0,s_ma,c_ma,c_ms,blocked
0,0.27144063,0.0,s_ms,c_ms,c_ms,blocked
0,0.14132392,0.0,s_ms,c_ms,c_ma,blocked
0,0.29061663,0.0,s_ms,c_ms,c_ms,blocked
0,0.20322517,0.0,s_ms,c_ms,c_ma,blocked
0,0.18579698,0.0,s_ms,c_ms,c_ma,blocked
0,1.443372e-05,0.0,s_ma,c_ms,c_ma,blocked
0,1.1150362e-05,0.0,s_ma,c_ms,c_ms,blocked
0,2.3855705e-06,0.0,s_ma,c_ms,c_ms,blocked
0,1.0151526e-05,0.0,s_ma,c_ms,c_ma,blocked
0,3.056993e-07,0.0,s_ma,c_ms,c_ms,blocked
0,0.2409111,0.0,s_ms,c_ma,c_ms,blocked
0,0.33326325,0.0,s_ms,c_ma,c_ma,blocked
0,0.45455083,0.0,s_ms,c_ma,c_ma,blocked
0,0.28856546,0.0,s_ms,c_ma,c_ms,blocked
0,0.19055668,0.0,s_ms,c_ma,c_ms,blocked
0,7.3226342e-06,0.0,s_ma,c_ma,c_ma,blocked
0,4.73108e-06,0.0,s_ma,c_ma,c_ms,blocked
0,1.4780659e-07,0.0,s_ma,c_ma,c_ms,blocked
0,6.560666e-07,0.0,s_ma,c_ma,c_ma,blocked
0,0.24905697,0.0,s_ms,c_ms,c_ma,blocked
0,0.1284771,0.0,s_ms,c_ms,c_ms,blocked
0,0.32871777,0.0,s_ms,c_ms,c_ma,blocked
0,0.3390366,0.0,s_ms,c_ms,c_ms,blocked
0,0.15499331,0.0,s_ms,c_ms,c_ms,blocked
0,3.2791581e-06,0.0,s_ma,c_ms,c_ms,blocked
0,1.4167694e-05,0.0,s_ma,c_ms,c_ma,blocked
0,2.3374794e-06,0.0,s_ma,c_ms,c_ma,blocked
0,1.1622088e-05,0.0,s_ma,c_ms,c_ms,blocked
0,6.611286e-07,0.0,s_ma,c_ms,c_ma,blocked
0,0.3004781,0.0,s_ms,c_ma,c_ma,blocked
0,0.34919235,0.0,s_ms,c_ma,c_ms,blocked
0,0.25346974,0.0,s_ms,c_ma,c_ms,blocked
0,0.24985392,0.0,s_ms,c_ma,c_ma,blocked
0,0.1798231,0.0,s_ms,c_ma,c_ma,blocked
0,6.589611e-07,0.0,s_ma,c_ma,c_ms,blocked
0,9.51718e-06,0.0,s_ma,c_ma,c_ma,blocked
0,1.4605443e-07,0.0,s_ma,c_ma,c_ms,blocked
0,3.4557547e-07,0.0,s_ma,c_ma,c_ms,blocked
0,0.42733753,0.0,s_ms,c_ms,c_ms,blocked
0,0.24819294,0.0,s_ms,c_ms,c_ma,blocked
0,0.23012379,0.0,s_ms,c_ms,c_ms,blocked
0,0.32884324,0.0,s_ms,c_ms,c_ma,blocked
0,0.2597254,0.0,s_ms,c_ms,c_ma,blocked
0,4.733104e-06,0.0,s_ma,c_ms,c_ma,blocked
